Rank	Taxonpath	Taxon	D2.May15	D2.Jun15	D2.Jul15	D2.Aug15	D2.Oct15	D2.Nov15	D2.Jan16	D2.Feb16	D2.Mar16	D2.Apr16	D2.May16	D2.Jun16	D2.Jul16	D2.Aug16	D2.Oct16	D2.Nov16	D2.Dec16	D2.Jan17	D2.Feb17	D2.Mar17	D2.Apr17	D2.May17	D2.Jun17	D2.Jul17	D2.Aug17	D2.Sep17	D2.Nov17	D2.Dec17	D2.Jan18	D2.Feb18	D2.Mar18	D2.Apr18	D2.May18	D2.Jun18	D2.Aug18	D2.Nov18	D2.Dec18	D2.Jan19	D2.Feb19	D2.Apr19	D2.May19	D2.Jun19	D2.Jul19_STR	D2.Aug19	D2.Sep19	D2.Oct19	D2.Nov19	D2.Dec19	D2.Jan20	D2.Feb20	D2.Apr20	D2.May20	D2.Jun20	D2.Jul20	D2.Aug20	D2.Sep20	D2.Nov20	D2.Dec20	D2.Jan21	D2.Feb21	LUR20.Feb15	LUR20.Mar15	LUR20.Apr15	LUR20.May15	LUR20.Jun15	LUR20.Jul15	LUR20.Aug15	LUR20.Sep15	LUR20.Oct15	LUR20.Nov15	LUR20.Dec15	LUR20.Jan16	LUR20.Feb16	LUR20.Mar16	LUR20.Abr16	LUR20.May16	LUR20.Aug16	LUR20.Sep16	LUR20.Nov16	LUR20.Dec16	LUR20.Jan17	LUR20.Mar17	LUR20.Apr17	LUR20_May17	LUR20.Jun17	LUR20.Jul17	LUR20.Aug17	LUR20.Sep17	LUR20.Oct17	LUR20.Nov17	LUR20.Jan18	LUR20.Feb18	LUR20.Mar18	LUR20.Apr18	LUR20.May18	LUR20.Aug18	LUR20.Oct18	LUR20.Nov18	LUR20.Dec18	LUR20.Jan19	LUR20.Feb19	LUR20.Mar19	LUR20.Apr19	LUR20.Jul19_STR	LUR20.Aug19	LUR20.Sep19	LUR20.Oct19	LUR20.Nov19	LUR20.Dec19	LUR20.Jan20	LUR20.Feb20	LUR20.Mar20	LUR20.Apr20	LUR20.May20	LUR20.Jun20	LUR20.Jul20	LUR20.Aug20	LUR20.Sep20	LUR20.Oct20	LUR20.Nov20	LUR20.Dec20	LUR20.Jan21	LUR20.Feb21
kingdom	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria)	PVC group (Planctobacteria)	1365	129	28	1599	676	83	75	43	227	36	32	24	114	67	846	3719	1558	1102	596	269	148	545	945	2560	523	1875	1546	2028	3826	2749	378	2776	313	1135	2703	1857	939	528	353	693	465	572	1370	1067	822	2198	1813	675	1076	366	945	1500	1040	327	673	1098	510	1799	854	347	141	8	245	126	80	276	1301	9931	144	143	1425	1210	82	19	20	106	56	192	1748	2521	882	147	123	259	626	1559	1675	1671	2139	3390	1996	627	1185	315	1011	660	1596	1419	1105	3371	600	67	1777	1207	1149	1259	2937	1464	563	795	621	421	96	1101	1489	564	497	3729	3250	883	877	1311	147
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Spirochaetes superphylum	Spirochaetes superphylum	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15	49	1	0	0	0	0	0	9	1	8	3	0	0	0	0	0	17	0	2	0	0	0	0	0	0	0	71	3	0	0	0	0	0	0	0	2	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	3
kingdom	Main genome;Bacteria;Bacteria (superkingdom);PAUC34f	PAUC34f	0	0	0	0	11	6	0	0	0	0	0	0	0	0	0	57	1	1	0	0	0	0	0	0	1	0	16	23	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	10	51	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	22	6	0	0	0	0	0	0	0	2	6	4	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	48	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Dependentiae superphylum	Dependentiae superphylum	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Fusobacteria superphylum	Fusobacteria superphylum	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	3	0	0	0	8	2	0	0	2	0	0	0	1	12	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	1	628	0	2	0	0	0	0	3	10	21	4	9	0	0	0	0	11	1	3	0	6	3	3	5	0	5	23	4	2	1	3	8	0	0	0	0	28	9	9	45	9	1	3	0	1	0	1	1	0	5	1	105
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Nitrospirae superphylum	Nitrospirae superphylum	0	1	2	0	1	0	113	13	4	0	0	0	0	0	0	13	4	90	61	14	1	1	0	0	0	0	16	83	1212	56	29	3	0	0	7	9	76	181	213	0	1	1	0	1	0	2	19	73	259	53	1	2	0	0	0	0	1	34	176	115	26	2	0	1	0	1	0	0	1	1	257	647	4	5	1	0	0	0	6	439	183	4	0	0	3	0	0	0	0	9	556	119	284	3	6	0	5	46	51	723	138	2	0	0	0	0	6	16	44	214	147	5	1	0	0	0	0	1	1	49	29	298	20
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Dadabacteria superphylum	Dadabacteria superphylum	4	1	0	2	124	7	39	5	4	0	1	0	0	3	139	358	88	150	33	33	6	1	0	0	49	81	183	570	1025	101	84	26	6	0	7	343	426	112	457	6	0	4	1	7	560	274	816	808	878	156	4	10	3	1	2	57	124	336	650	555	11	3	0	0	2	1	1	6	20	8	511	324	6	4	0	1	0	32	213	127	324	1	0	4	1	0	2	49	151	243	632	182	72	23	1	0	3	50	615	425	369	0	4	0	0	70	259	738	531	416	184	23	1	20	0	2	0	10	543	413	198	986	109
kingdom	Main genome;Bacteria;Bacteria (superkingdom);Margulisbacteria superphylum	Margulisbacteria superphylum	0	0	0	11	0	0	0	0	0	0	0	0	0	4	4	6	4	0	0	0	0	0	0	0	1	3	61	17	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	20	90	0	4	3	0	0	0	0	0	0	0	65	8	8	0	0	0	0	0	0	0	69	4	1	0	0	2	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	11	8	0	3	1	0	0	0	0	0	0	0	4	3	60	25	5	1	0
kingdom	Main genome;Bacteria;Bacteria (superkingdom);WPS-2	WPS-2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	59	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kingdom	Main genome;Archaea;Archaea (superkingdom);Euryarchaea sensu lato superphylum	Euryarchaea sensu lato superphylum	13	2	9	8	159	8	780	182	26	17	7	2	1	12	666	783	2638	976	56	724	684	38	0	4	865	46	776	2292	2611	286	401	29	207	2	26	1328	1281	718	1126	16	486	31	4	6	57	474	1062	1057	775	943	187	27	4	5	3	62	41	2224	576	1582	30	14	57	108	0	0	2	131	16	56	3265	1493	79	86	10	3	1	92	533	1358	2474	980	2577	799	41	53	17	57	24	1553	1562	536	323	376	119	1	242	383	1570	718	159	3101	233	47	67	779	978	1306	729	389	425	682	148	65	12	27	19	25	1488	593	1683	696	1197
kingdom	Main genome;Archaea;Archaea (superkingdom);TACK	TACK	0	6	4	6	4	5	2049	430	34	1	0	2	3	4	0	99	284	596	105	51	7	10	0	0	3	0	139	1171	5021	181	213	49	3	2	28	130	1199	1281	1243	13	10	0	2	23	11	77	1174	2576	2368	515	16	39	1	2	0	1	154	693	2909	3441	197	13	18	1	1	12	2	17	18	33	4944	5100	258	23	1	2	2	2	63	1098	2113	11	4	4	5	0	0	11	7	96	3464	762	1480	35	12	0	26	134	1093	2175	451	7	3	2	3	0	51	792	2077	1833	1064	59	5	41	4	3	0	4	55	924	444	5815	510
kingdom	Main genome;Archaea;Archaea (superkingdom);DPANN	DPANN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	4	0	0	0	0	1	3	1	40	57	4	1	0	0	0	0	0	0	4	1	10	0	0	0	0	0	0	0	0	0	0	0	26	5	0	0	0	0	0	0	1	6	1	0	0	0	0	0	0	0	3	6	1	0	3	0	0	0	0	0	0	48	0	0	0	0	0	0	2	22	25	10	2	0	0	0	0	0	0	5	3	17	0	13	0
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria	Proteobacteria	7093	5119	3283	21395	12626	2511	2812	2959	3978	8059	5283	3326	4065	3868	24340	22379	16723	23516	23049	38503	17533	31152	33696	34534	22948	15319	27309	32839	32545	34225	32332	18937	46365	51329	33164	19813	32489	46421	28083	33170	27772	39638	35229	26910	36374	26798	26253	23183	38780	25145	29481	4708	41097	23744	33901	32844	22156	58435	25091	27513	6322	4425	33525	5011	6760	24078	10001	3688	4521	5257	22553	35680	5311	10502	7289	4219	2721	6231	19938	31829	29725	35590	33620	30335	32169	33387	18518	21339	34612	47235	17401	20098	16402	28578	16469	8185	32056	43674	34356	21930	18488	24850	6906	31500	35139	30845	28882	26171	20199	18011	22532	22626	23005	4668	36247	27698	30532	5828	33792	45985	36212	29782	19416
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Campylobacterota	Campylobacterota	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	7	13	5	2	0	0	0	0	0	7	1	2	3	44	1	2	0	7	0	4	0	10	47	0	15	2	0	0	0	7	19	3	0	7	0	0	0	0	0	3	0	0	4	7	11	3	33	3	2	0	0	8	0	2	20	474	4	4	0	2	1	0	20	99	129	3	45	6	1	0	5	77	11	77	7	24	11	57	25	0	45	67	26	43	1	26	32	1	3	0	12	62	46	9	23	20	12	6	0	1	2	12	7	6	45	11	211
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Desulfobacterota	Desulfobacterota	0	0	1	8	1	2	2	0	4	0	0	0	1	2	113	76	24	18	9	2	0	1	0	18	9	25	19	15	68	13	9	2	237	17	68	2	12	7	14	3	20	9	0	5	34	3	7	4	7	0	0	1	2	3	176	89	67	43	8	5	0	0	2	0	0	4	135	527	15	1	37	145	3	1	1	0	3	45	10	30	33	6	0	147	13	44	44	42	27	19	21	16	10	3	44	30	36	50	17	82	9	5	13	1	120	18	6	10	8	14	19	1	1	23	0	0	89	339	25	38	20	5	18
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Myxococcota	Myxococcota	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	8	4	9	3	1	0	0	0	0	0	0	22	46	50	2	39	8	0	0	1	6	34	8	9	0	0	0	0	0	2	0	18	40	2	4	0	2	0	0	0	0	1	16	13	0	0	0	0	0	0	0	0	2	1	1	25	7	1	0	0	0	0	0	4	59	71	2	0	0	0	0	0	0	0	29	22	4	8	2	0	0	0	0	67	11	13	2	0	0	0	0	1	12	18	2	14	8	0	8	0	0	0	0	5	13	11	15	3
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Bdellovibrionota	Bdellovibrionota	2	0	6	51	27	1	8	4	1	18	1	0	1	9	35	58	20	95	4	24	1	11	28	188	51	16	27	37	103	35	60	20	10	5	14	22	140	46	54	6	9	25	2	100	83	45	164	5	9	49	28	8	1	2	81	229	11	158	19	9	2	0	6	20	1	143	158	610	3	15	87	59	2	2	21	0	7	7	59	89	77	46	1	8	39	154	137	34	16	45	68	2	9	6	26	39	74	85	130	105	10	7	18	13	135	204	44	112	11	6	16	2	122	12	6	0	96	453	71	25	83	28	65
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;NB1-j	NB1-j	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	11	0	3	1	0	0	0	0	0	0	4	21	5	0	2	5	0	0	0	5	18	0	2	0	0	0	0	0	0	1	49	22	2	0	0	1	0	0	0	0	3	8	1	1	0	0	0	0	0	0	0	21	0	0	1	3	1	0	0	0	0	0	2	5	8	0	0	0	0	0	1	0	0	1	2	0	0	3	2	0	0	3	23	6	2	0	1	0	0	0	0	22	13	1	0	3	0	1	1	0	0	3	4	14	10	4	1
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;SAR324 clade(Marine group B)	SAR324 clade(Marine group B)	0	1	10	85	41	15	26	12	1	0	0	2	8	13	62	314	50	52	7	25	2	15	32	126	128	43	632	710	372	42	56	1	1	2	571	265	556	111	78	1	3	18	138	438	711	86	317	260	140	123	40	7	245	81	291	540	50	460	117	165	9	1	1	1	2	35	77	6	13	10	110	128	12	4	6	1	14	20	116	196	126	3	2	8	8	96	12	80	376	115	153	31	92	2	2	6	24	84	285	172	41	9	2	65	337	111	71	150	120	118	110	15	12	3	19	52	224	24	210	140	291	120	62
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Unknown Proteobacteria superphylum phylum 1	Unknown Proteobacteria superphylum phylum 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
phylum	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Unknown Proteobacteria superphylum phylum 2	Unknown Proteobacteria superphylum phylum 2	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	1	0	0
phylum	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Firmicutes	Firmicutes	3	2	0	111	0	0	2	2	0	1	0	0	0	0	1	6	0	18	1	0	3	2	0	3	4	4	0	1	7	229	3	1	0	12	2	0	3	53	191	16	8	2	2	1	0	3	33	1	0	0	0	7	4	2	0	5	0	7	9	19	3	7	17	0	2	1	5	3	0	8	37	2660	25	26	9	0	0	0	53	317	653	17	158	4	1	0	1	382	13	366	27	112	25	68	50	0	119	699	127	36	5	40	172	7	2	0	58	475	119	16	333	46	19	8	6	9	5	60	14	3	98	13	717
phylum	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Cyanobacteria	Cyanobacteria	1778	51	303	6089	12733	4628	394	92	161	41	414	128	129	3803	2087	17324	2233	1737	3780	96	1551	2324	1178	11023	21336	32723	6449	2900	5142	2661	443	1006	4179	3691	12220	24295	2250	2132	1760	5808	1304	5014	993	5148	6638	2728	801	550	5142	2117	2744	582	823	899	8271	8113	6173	3728	1923	3613	692	39	2351	522	78	3820	4871	2710	2498	2643	3179	1091	79	28	34	62	3291	675	9649	4534	1421	42	223	1186	2429	15367	40541	13843	14059	1713	1288	1679	1575	75	2740	7568	10670	4002	1400	6762	2441	138	1464	466	6784	2532	2050	269	660	1197	1566	254	1293	392	494	751	3788	2990	2663	4587	2518	1590	361
phylum	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Actinobacteriota	Actinobacteriota	23	27	60	1372	3233	132	252	201	721	242	360	65	60	167	1942	2609	1577	1892	1862	1683	2679	350	430	539	1452	2808	2318	1827	1914	3636	2126	3702	329	224	464	3137	3591	502	1387	1321	776	972	511	450	898	2748	2554	2209	3592	1710	759	301	552	196	570	638	1477	2906	1577	1458	499	77	190	20	17	4225	1070	206	893	293	2517	774	295	129	135	119	195	455	1433	3081	2094	997	1759	129	1163	892	1614	1967	1859	1936	1157	1428	1083	2570	124	342	2532	2392	2966	3651	1225	552	202	388	1000	1236	4012	2291	2246	1467	1240	1685	349	93	457	341	487	68	1763	2016	1647	2021	749
phylum	Main genome;Bacteria;Bacteria (superkingdom);Terrabacteria;Chloroflexi	Chloroflexi	1	1	0	0	11	2	20	3	0	0	0	0	0	0	8	81	77	36	4	3	0	0	0	0	19	1	353	989	275	6	4	0	0	0	5	114	319	72	87	1	0	0	1	7	34	102	1301	713	284	57	2	11	1	0	0	2	50	279	159	175	5	1	0	0	0	0	0	8	3	6	93	64	4	1	0	0	0	3	25	78	54	0	0	1	0	0	0	5	22	24	184	34	45	1	0	0	2	16	276	174	32	0	0	2	0	3	108	787	288	233	80	1	0	4	0	0	0	6	151	301	169	292	27
