OTU	D2.May15	D2.Jun15	D2.Jul15	D2.Aug15	D2.Oct15	D2.Nov15	D2.Jan16	D2.Feb16	D2.Mar16	D2.Apr16	D2.May16	D2.Jun16	D2.Jul16	D2.Aug16	D2.Oct16	D2.Nov16	D2.Dec16	D2.Jan17	D2.Feb17	D2.Mar17	D2.Apr17	D2.May17	D2.Jun17	D2.Jul17	D2.Aug17	D2.Sep17	D2.Nov17	D2.Dec17	D2.Jan18	D2.Feb18	D2.Mar18	D2.Apr18	D2.May18	D2.Jun18	D2.Aug18	D2.Nov18	D2.Dec18	D2.Jan19	D2.Feb19	D2.Apr19	D2.May19	D2.Jun19	D2.Jul19_STR	D2.Aug19	D2.Sep19	D2.Oct19	D2.Nov19	D2.Dec19	D2.Jan20	D2.Feb20	D2.Apr20	D2.May20	D2.Jun20	D2.Jul20	D2.Aug20	D2.Sep20	D2.Nov20	D2.Dec20	D2.Jan21	D2.Feb21	LUR20.Feb15	LUR20.Mar15	LUR20.Apr15	LUR20.May15	LUR20.Jun15	LUR20.Jul15	LUR20.Aug15	LUR20.Sep15	LUR20.Oct15	LUR20.Nov15	LUR20.Dec15	LUR20.Jan16	LUR20.Feb16	LUR20.Mar16	LUR20.Abr16	LUR20.May16	LUR20.Aug16	LUR20.Sep16	LUR20.Nov16	LUR20.Dec16	LUR20.Jan17	LUR20.Mar17	LUR20.Apr17	LUR20_May17	LUR20.Jun17	LUR20.Jul17	LUR20.Aug17	LUR20.Sep17	LUR20.Oct17	LUR20.Nov17	LUR20.Jan18	LUR20.Feb18	LUR20.Mar18	LUR20.Apr18	LUR20.May18	LUR20.Aug18	LUR20.Oct18	LUR20.Nov18	LUR20.Dec18	LUR20.Jan19	LUR20.Feb19	LUR20.Mar19	LUR20.Apr19	LUR20.Jul19_STR	LUR20.Aug19	LUR20.Sep19	LUR20.Oct19	LUR20.Nov19	LUR20.Dec19	LUR20.Jan20	LUR20.Feb20	LUR20.Mar20	LUR20.Apr20	LUR20.May20	LUR20.Jun20	LUR20.Jul20	LUR20.Aug20	LUR20.Sep20	LUR20.Oct20	LUR20.Nov20	LUR20.Dec20	LUR20.Jan21	LUR20.Feb21	classification
SWARM_1974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	392	37	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	1	9	1	0	0	0	0	2	0	0	1	2	0	0	103	0	0	0	0	0	7	7	0	0	1	0	3	56	3	0	1	2	0	4	0	8	1	419	18	0	2	0	0	1	0	0	4	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	9	1	3	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Pseudofulvibacter
SWARM_1971	1	0	1	4	1	1	0	0	0	0	0	0	0	0	125	0	3	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	1	1	0	0	3	15	0	0	1	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	880	5	11	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	19	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas
SWARM_211	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	5	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	4	2	0	1	1	3	0	1	11	0	0	4	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	1	0	3	0	0	0	0	0	0	4	0	0	1	0	0	0	10	25	0	0	0	15	0	0	0	30	0	0	1	0	0	0	0	0	2	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingorhabdus;Sphingorhabdus wooponensis
SWARM_213	1	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	30	4	40	26	3	2	0	0	0	0	2	0	4	39	3	8	4	870	0	0	0	225	11	7	42	4	0	2	0	1	2	3	0	22	12	7	20	0	0	0	2	1	5	2	9	20	80	13	3	0	3	0	1	0	10	23	4	1	1	1	0	0	20	101	24	26	21	102	5	1	0	2	0	396	5	19	6	97	178	0	2	2	43	19	8	26	69	60	0	0	0	1	35	8	16	26	2	110	33	1	7	8	11	0	2	7	2	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavobacterium
SWARM_16987	0	0	0	0	1	0	0	0	0	0	0	0	0	0	7	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Rhodothermia;Balneolales;Balneolaceae
SWARM_215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	20	1	1	0	0	0	0	1	1	12	0	3	0	0	0	0	5	0	4	1	0	1	1	1	0	3	0	3	0	0	3	1	0	0	0	0	9	8	2	4	3	0	1	0	1	0	1	0	0	0	0	11	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Campylobacterota;Campylobacteria;Campylobacterales;Arcobacteraceae;Pseudarcobacter
SWARM_214	5	0	0	0	0	0	0	1	7	3	1	1	0	0	1	2	5	35	50	3	5	0	0	0	0	0	0	0	8	253	40	9	6	31	0	0	0	14	84	5	161	0	0	1	0	0	0	0	0	7	4	1	0	0	0	0	0	0	7	3	49	72	132	8	7	1	1	0	0	0	14	47	26	11	4	3	0	0	7	173	38	94	13	30	0	2	0	22	0	492	21	45	15	98	59	0	1	4	99	29	67	44	62	2	0	0	0	0	0	16	10	45	1	20	8	0	0	0	0	0	0	5	4	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Celeribacter
SWARM_1978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	2	0	0	0	0	0	16	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria);Verrucomicrobiota;Verrucomicrobiae
SWARM_216	23	396	73	464	57	0	3	1	0	1	0	13	67	14	171	62	7	4	0	2	3	47	730	826	165	83	66	22	1	1	0	0	3	808	504	18	10	1	2	1	0	2	921	528	717	39	36	16	48	10	46	30	1011	538	569	658	31	20	1	0	2	1	34	29	694	396	186	45	34	6	2	0	0	5	0	3	21	44	92	3	1	1	7	2	181	736	108	178	387	137	7	0	0	1	2	118	181	13	7	5	0	1	2	1554	844	748	34	40	20	7	9	5	41	84	690	755	561	97	151	86	6	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Halieaceae;OM60(NOR5) clade
SWARM_5943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	22	120	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Spongiibacteraceae;Zhongshania
SWARM_2271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1052	0	0	0	0	0	0	0	1	12	0	0	0	0	0	0	24	1	2	0	0	0	1	0	0	4	12	2	0	0	1	0	0	0	0	2	3	1	0	1	1	0	0	0	0	0	1	0	0	2	0	10	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Enterobacterales;Aeromonadaceae
SWARM_2900	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	33	11	0	0	0	0	0	0	0	0	0	14	23	1	0	0	0	0	0	0	3	12	0	0	0	0	0	0	1	6	11	44	71	3	2	0	0	0	0	0	3	3	1	1	0	0	0	0	0	0	0	0	185	3	0	3	0	0	0	0	0	0	12	6	4	0	0	0	0	0	0	0	0	51	9	2	0	0	0	0	0	0	5	14	13	2	0	0	0	0	13	6	51	29	7	0	0	0	0	0	0	0	22	8	2	1	1	0	Main genome;Bacteria;Bacteria (superkingdom);PVC group (Planctobacteria);Planctomycetota;Pla3 lineage
SWARM_2901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola
SWARM_2274	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	9	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0	0	4	0	2	1	0	28	0	0	0	1	0	0	0	3	0	0	0	0	0	0	17	0	0	17	0	85	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Chitinophagales
SWARM_17505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae
SWARM_3309	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter
SWARM_11	39	3	46	11	189	2	121	61	82	559	109	0	44	59	2030	1393	2533	5041	2441	2363	132	4192	215	385	189	2732	385	467	3167	2387	786	7788	900	2529	613	115	153	86	291	1882	632	72	31	351	238	152	408	1250	281	53	124	139	147	121	152	200	210	889	209	88	49	26	1402	311	17	10	20	184	248	583	2638	1667	143	26	358	35	89	689	2074	406	1055	4451	381	491	747	1076	99	2910	244	1700	1887	568	186	3561	6676	104	5252	666	746	1044	1525	791	446	87	587	263	162	594	1320	251	80	880	929	242	286	271	353	46	243	589	517	150	112	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae;Fluviicola
SWARM_181	2	2	0	0	2	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	47	1	0	3	6	0	14	3	5	7	2	4	1	0	0	2	1	1	2	0	0	0	5	5	0	0	0	0	4	1	20	1	0	2	1	0	1	0	35	1	0	2	82	5	1	3	0	0	0	30	2	183	9	21	3	0	0	0	27	0	25	2	10	1	3	27	0	32	336	13	1	0	5	16	2	0	0	2	21	11	1	54	3	16	11	1	0	1	20	9	7	56	2	1400	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter
SWARM_2572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Burkholderiales;Chitinimonadaceae;Chitinivorax
SWARM_11671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	3	108	0	0	0	2	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Crocinitomicaceae
SWARM_182	7	35	141	388	196	16	3	3	5	14	26	50	100	18	137	302	46	54	19	761	21	61	1423	490	236	140	109	71	47	35	121	9	49	404	627	52	28	2	17	15	303	351	546	249	325	136	97	60	48	32	59	11	120	408	303	389	25	185	22	11	6	6	16	71	55	158	400	23	125	32	56	27	4	1	19	51	21	28	302	64	29	417	48	37	687	441	98	220	478	308	15	18	8	20	29	102	195	43	40	10	8	30	0	704	354	244	140	130	35	15	12	21	70	21	210	316	226	30	285	84	95	16	5	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Proteobacteria;Gammaproteobacteria;Pseudomonadales;KI89A clade
SWARM_3303	0	0	0	0	0	0	0	0	0	10	30	0	0	0	0	6	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	58	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	8	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Flavicella
SWARM_184	113	0	0	2	3	2	1	1	7	49	32	2	1	6	8	2	10	148	350	12	105	259	0	37	18	30	3	0	1	26	4	41	519	284	17	0	8	1	12	3216	483	44	0	0	1	1	5	9	43	32	17	41	0	16	0	4	27	5	1	1	7	7	792	4	2	56	0	20	9	1	14	6	0	2	41	1	11	13	11	10	8	25	45	222	184	185	40	51	6	12	0	1	34	26	2129	43	68	18	10	73	13	28	1485	11	1	13	3	8	8	6	24	6	209	108	19	145	12	2	3	78	5	3	3	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Winogradskyella
SWARM_30986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Gemmatimonadota;BD2-11 terrestrial group
SWARM_2574	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);FCB group;Bacteroidota;Bacteroidia;Chitinophagales;Saprospiraceae
SWARM_3715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Bacteria;Bacteria (superkingdom);Proteobacteria superphylum;Bdellovibrionota;Bdellovibrionia;Bacteriovoracales;Bacteriovoracaceae;Peredibacter
