OTU	D2-May15	D2-Jun15	D2-Jul15	D2-Aug15	D2-Oct15	D2-Nov15	D2-Dec15	D2-Jan16	D2-Feb16	D2-Mar16	D2-Apr16	D2-May16	D2-Jun16	D2-Jul16	D2-Aug16	D2-Sep16	D2-Oct16	D2-Nov16	D2-Dec16	D2-Jan17	D2-Feb17	D2-Mar17	D2-Apr17	D2-May17	D2-Jun17	D2-Jul17	D2-Aug17	D2-Sep17	D2-Oct17	D2-Nov17	D2-Dec17	D2-Jan18	D2-Feb18	D2-Mar18	D2-Apr18	D2-May18	D2-Jun18	D2-Aug18	D2-Sep18	D2-Oct18	D2-Nov18	D2-Dec18	D2-Jan19	D2-Feb19	D2-Apr19	D2-May19	D2-Jun19	D2-Jul19_STR	D2-Aug19	D2-Sep19	D2-Oct19	D2-Nov19	D2-Dec19	D2-Jan20	D2-Feb20	D2-Apr20	D2-May20	D2-Jun20	D2-Jul20	D2-Aug20	D2-Sep20	D2-Oct20	D2-Nov20	D2-Dec20	D2-Jan21	D2-Feb21	LUR20-Feb15	LUR20-Mar15	LUR20-Apr15	LUR20-May15	LUR20-Jun15	LUR20-Jul15	LUR20-Aug15	LUR20-Sep15	LUR20-Oct15	LUR20-Nov15	LUR20-Jan16	LUR20-Feb16	LUR20-Mar16	LUR20-Abr16	LUR20-May16	LUR20-Jun16	LUR20-Jul16	LUR20-Aug16	LUR20-Sep16	LUR20-Nov16	LUR20-Dec16	LUR20-Jan17	LUR20-Feb17	LUR20-Mar17	LUR20-Apr17	LUR20_May17	LUR20-Jun17	LUR20-Jul17	LUR20-Aug17	LUR20-Sep17	LUR20-Oct17	LUR20-Nov17	LUR20-Jan18	LUR20-Feb18	LUR20-Mar18	LUR20-Apr18	LUR20-May18	LUR20-Jun18	LUR20-Jul18	LUR20-Aug18	LUR20-Sep18	LUR20-Oct18	LUR20-Nov18	LUR20-Feb19	LUR20-Mar19	LUR20-Apr19	LUR20-Jul19_STR	LUR20-Aug19	LUR20-Sep19	LUR20-Oct19	LUR20-Nov19	LUR20-Dec19	LUR20-Jan20	LUR20-Feb20	LUR20-Mar20	LUR20-Apr20	LUR20-May20	LUR20-Jun20	LUR20-Jul20	LUR20-Aug20	LUR20-Sep20	LUR20-Oct20	LUR20-Nov20	LUR20-Dec20	LUR20-Jan21	LUR20-Feb21	classification
SWARM_1972	1	0	0	0	2	0	0	0	0	0	0	6	3	58	20	19	24	0	1	0	1	0	1	1	4	0	0	0	0	8	0	10	0	0	0	0	0	0	0	0	1	0	0	2	0	1	2	2	0	1	0	2	1	6	0	10	2	1	0	0	0	0	0	0	0	0	0	1	8	3	2	0	0	0	0	0	2	0	0	0	12	8	31	62	148	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	2	1	0	0	0	0	0	0	0	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1
SWARM_449	0	1	3	1	1	1	31	121	84	22	160	11	0	0	0	0	0	54	1	49	10	14	12	0	0	0	0	0	0	6	3	310	6	371	12	29	0	0	0	0	15	24	158	67	0	4	0	0	0	0	0	0	0	0	4	5	0	0	0	1	0	0	0	3	49	420	20	8	139	17	0	0	0	0	0	46	285	79	17	484	0	0	0	0	0	161	1	194	34	71	29	27	0	0	0	0	0	0	211	7	8	41	1	0	0	0	0	0	23	64	199	0	0	1	0	0	0	0	9	5	73	7	0	0	0	0	0	0	1	0	52	289	Main genome;Eukaryota;SAR;Stramenopiles;Sagenista;MAST-7;MAST-7A;MAST-7A X;MAST-7A XX;MAST-7A XX sp.
SWARM_2052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	2	0	0	3	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	21	1	12	11	0	0	12	0	0	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae X;Chrysophyceae Clade-C;Chrysophyceae Clade-C X;Chrysophyceae Clade-C X sp.
SWARM_211	2	42	4	2	141	206	191	138	68	39	30	0	0	2	326	574	53	289	442	53	135	0	8	0	0	32	623	134	56	100	50	67	27	23	0	0	0	34	0	27	133	86	85	67	0	15	6	7	144	527	37	5	4	13	0	19	2	24	0	4	219	2	12	384	205	89	256	152	28	62	203	1	354	0	9	851	212	164	13	28	0	1	341	611	118	1133	82	217	479	15	7	4	34	622	424	155	235	32	21	14	35	5	0	0	0	4	0	0	29	45	1	0	78	970	378	16	2	10	4	7	138	5	0	6	389	796	2	206	54	362	160	42	Main genome;Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Mamiellaceae;Mantoniella;Mantoniella squamata
SWARM_212	3	351	316	24	38	127	6	17	29	1	3	0	28	190	25	13	38	45	1	5	5	0	0	131	1020	97	144	61	39	148	12	40	0	9	0	3	0	269	0	110	47	12	14	30	0	21	478	1474	191	446	12	4	3	0	0	56	1	199	53	73	157	1	19	8	4	2	6	0	90	39	319	7	212	0	138	98	27	11	0	0	10	246	129	10	4	32	17	13	36	0	0	0	647	108	8	43	372	4	11	0	4	0	0	0	0	3	0	0	2	21	0	0	484	149	19	17	0	0	3	0	0	4	3	30	5	73	7	21	21	8	7	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pedinellales X
SWARM_217	38	148	36	276	49	17	15	25	20	12	48	4	76	239	239	157	142	54	10	4	15	25	5	1	187	218	41	76	19	50	8	17	9	57	18	48	5	92	7	53	2	12	7	49	0	15	1042	1294	509	373	64	7	2	0	0	65	10	818	380	299	243	0	78	196	13	61	11	10	129	214	381	5	137	0	189	35	13	24	19	60	11	104	579	110	79	35	6	39	28	15	7	78	123	180	34	34	164	4	10	1	1	20	0	3	0	0	0	2	9	51	13	1	308	394	34	39	2	0	4	2	16	18	6	102	150	339	13	40	79	87	15	76	Main genome;Eukaryota;SAR;Stramenopiles;Sagenista;MAST-8;MAST-8B;MAST-8B X;MAST-8B XX;MAST-8B XX sp.
SWARM_189	2	790	389	8	98	37	0	8	11	1	7	5	267	250	19	28	73	65	1	30	1	2	2	344	110	90	73	5	30	223	36	0	0	0	0	0	7	1350	0	110	8	7	10	0	0	0	470	909	292	511	10	13	19	1	0	1	33	132	184	77	302	0	3	1	0	0	14	0	77	15	402	9	164	0	194	16	0	1	0	3	222	241	29	2	1	19	14	2	38	1	0	0	17	22	7	4	798	84	5	0	3	0	0	0	39	15	2	3	1	0	6	2	159	1507	337	37	6	4	1	16	0	0	2	114	6	119	6	6	7	1	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II X;Dino-Group-II XX;Dino-Group-II XX sp.
SWARM_2903	2	0	0	2	6	2	0	0	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	2	0	0	0	0	0	0	0	21	5	0	0	0	0	0	0	0	0	7	0	2	0	0	0	0	4	0	0	0	0	0	6	0	0	0	0	6	8	6	0	0	0	64	0	0	1	6	28	0	0	0	0	0	0	14	2	6	0	0	10	0	0	0	1	0	0	12	0	7	0	0	0	0	1	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa-lineage X
SWARM_2272	0	0	10	0	0	0	0	0	0	0	0	0	0	0	11	2	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	234	2	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	3	0	0	0	0	0	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Filosa-Thecofilosea;Cryomonadida;Protaspa-lineage;Protaspa-lineage X;Protaspa-lineage X sp.
SWARM_2578	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	11	0	0	11	0	0	0	2	0	0	103	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	7	1	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	23	0	0	0	0	0	0	0	0	75	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	2	0	0	0	0	0	0	0	0	0	46	0	7	0	1	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-1;Dino-Group-II-Clade-1 X;Dino-Group-II-Clade-1 X sp.
SWARM_2906	0	0	0	0	10	0	0	0	2	0	0	1	28	5	0	0	3	13	0	0	0	0	0	0	0	6	0	0	0	11	16	7	7	0	0	0	0	0	0	6	6	6	5	0	0	2	15	40	5	17	10	9	6	0	0	0	0	14	0	0	6	0	0	4	2	3	0	0	7	0	0	0	0	0	12	15	2	0	0	0	13	40	0	3	3	6	3	2	2	0	0	0	10	3	0	0	35	2	2	0	0	0	0	5	0	0	0	1	1	1	2	2	15	0	3	26	2	5	1	0	1	0	0	5	0	0	0	5	2	0	5	1	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II
SWARM_5945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3 X
SWARM_2604	0	6	0	6	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	37	0	10	0	0	0	0	0	0	0	21	1	5	6	0	0	0	0	0	2	53	0	1	6	7	0	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	1	7	4	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	3	7	0	0	0	0	0	0	1	3	0	1	6	3	0	0	0	0	Main genome;Eukaryota;Archaeplastida;Chloroplastida;Chlorophyta;Pyramimonadophyceae;Pyramimonadales;Halosphaeraceae;Halosphaera;Halosphaera sp.
SWARM_181	0	3	1745	1	1488	114	0	0	1	0	0	3	0	388	625	300	123	1	0	0	0	0	0	1	37	633	78	20	0	166	0	0	0	0	0	0	0	130	0	56	87	0	0	0	1	0	9	191	44	239	0	0	0	0	1	0	0	32	1557	31	6	6	0	0	0	0	0	0	1	0	4	0	0	9	135	37	0	1	0	0	0	0	955	1101	44	11	2	0	3	0	0	0	1	1295	0	12	207	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	191	143	201	1	0	0	0	0	0	0	0	0	239	40	1	0	0	0	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;Pseudopedinella family incertae sedis;Pseudopedinella
SWARM_2908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	5	81	0	13	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	79	0	19	0	0	8	1	47	0	2	0	2	0	0	0	3	0	0	0	1	0	1	0	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-21;Dino-Group-II-Clade-21 X
SWARM_182	23	279	21	59	0	1	0	2	0	1	1	20	86	194	919	139	0	0	0	0	0	0	0	586	296	348	82	9	0	0	0	0	0	0	0	278	187	338	0	207	0	0	0	1	0	22	233	335	151	10	0	1	0	0	0	76	6	274	1286	85	48	0	0	0	0	0	0	0	90	30	331	467	218	0	0	0	0	0	0	0	446	177	1390	55	9	0	4	0	2	0	0	262	150	254	6	12	18	0	0	0	0	0	1	0	11	121	0	3	0	0	3	0	136	479	6	1	0	0	0	0	1	9	3	71	904	65	3	0	0	0	0	0	Main genome;Eukaryota;Hacrobia;Haptophyta kingdom incertae sedis;Haptophyta;Prymnesiophyceae;Isochrysidales;Noelaerhabdaceae
SWARM_184	93	550	0	0	2	5	17	8	17	84	103	48	493	0	0	0	0	2	6	49	216	20	424	19	94	0	0	0	0	0	0	3	33	40	17	616	0	0	0	0	30	25	48	57	408	138	265	0	0	0	0	0	0	0	0	201	591	31	0	0	3	0	0	0	7	30	5	0	301	147	189	0	0	0	0	0	28	33	5	67	720	803	0	5	0	4	1	143	297	33	38	424	1480	1	19	1	2	0	1	4	0	251	17	0	0	0	0	0	67	241	102	522	0	2	0	0	0	2	1	1	326	29	224	1	0	0	0	0	0	0	3	5	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Dictyochophyceae;Dictyochales;Dictyocha family incertae sedis;Dictyocha;Dictyocha speculum
SWARM_187	0	0	2	2	13	68	116	318	194	1	1	0	4	0	0	0	1	142	180	23	0	3	0	0	0	15	0	0	24	438	522	559	12	27	0	0	0	0	0	0	29	638	471	110	0	1	0	3	0	1	182	2258	313	2	2	0	4	0	0	0	4	11	83	314	78	72	71	3	0	2	0	0	2	0	157	74	651	120	2	6	0	0	0	2	0	93	141	208	178	6	0	3	0	2	0	2	17	148	368	10	24	1	0	0	0	0	0	0	85	61	2	0	2	0	0	187	1112	204	51	40	2	1	0	0	0	0	0	51	204	161	179	21	Main genome;Eukaryota;Hacrobia;Picozoa kingdom incertae sedis;Picozoa;Picozoa X;Picozoa XX;Picozoa XXX;Picozoa XXXX;Picozoa XXXX sp.
SWARM_956	30	1	7	0	40	9	1	2	5	0	0	9	2	14	0	2	2	4	21	1	0	0	2	0	0	0	0	1	0	5	10	2	0	140	0	0	0	0	0	0	10	19	1	9	2	0	8	48	16	6	8	6	0	1	0	29	0	2	127	7	6	103	0	0	0	2	4	0	0	122	2	0	0	71	0	6	11	1	0	0	24	0	5	4	2	4	2	1	5	0	0	5	33	11	0	3	40	4	10	0	1	0	5	0	0	0	0	0	3	0	0	23	24	8	35	11	3	0	0	0	0	1	0	1	5	0	9	3	1	0	4	3	Main genome;Eukaryota;Amorphea;Choanoflagellida;Choanoflagellida (phylum);Choanoflagellida X;Choanoflagellida XX;Choanoflagellida XXX;Choanoflagellida XXXX;Choanoflagellida XXXX sp.
SWARM_957	0	0	0	0	34	3	0	1	0	0	0	1	0	0	0	1	128	16	2	0	1	0	0	0	0	0	59	47	35	8	5	0	0	0	0	0	0	62	1	0	37	7	0	0	0	0	0	0	0	26	68	60	0	0	0	0	0	0	0	0	16	105	0	11	0	0	0	0	0	0	0	0	0	63	0	7	0	0	0	0	0	0	0	0	23	21	0	0	0	0	0	0	0	0	0	54	53	15	0	0	0	0	0	0	0	0	0	12	15	0	0	0	1	0	375	214	66	4	0	0	0	0	0	0	0	0	1	222	6	3	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Opalozoa;MAST-3;MAST-3E;MAST-3E X;MAST-3E XX;MAST-3E XX sp.
SWARM_2470	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	17	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130	2	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	2	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	Main genome;Eukaryota;SAR;Stramenopiles;Ochrophyta;Bacillariophyta;Polar-centric-Mediophyceae;Chaetoceros
SWARM_54	28	1242	35	0	30	128	45	60	25	67	5012	107	511	3	0	18	53	221	85	120	1228	40	215	1765	733	7	52	30	7	318	402	116	290	532	0	2790	139	0	0	47	114	296	106	49	183	530	1001	12	0	3	0	195	151	101	55	202	6	110	0	0	4	71	40	92	82	186	242	2133	8602	471	728	3	4	1	170	184	124	55	2	4650	1529	603	5	21	96	212	28	130	735	63	11	2181	662	193	17	7	1607	38	97	40	11	4	13	3	0	0	0	13	70	265	204	36	7	0	3	3	57	203	22	83	8	62	1	30	0	5	0	16	9	42	116	65	Main genome;Eukaryota;SAR;Rhizaria;Cercozoa;Chlorarachniophyceae;Chlorarachniophyceae X;NPK2-lineage;NPK2-lineage X;NPK2-lineage X sp.
SWARM_952	0	0	0	0	3	9	38	174	6	3	1	0	49	9	0	0	1	7	0	0	0	1	2	1	99	18	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	1	0	4	91	16	0	0	1	89	27	10	3	57	0	15	0	0	0	0	9	15	1	5	0	7	8	0	0	0	0	0	0	7	296	11	2	5	128	149	2	0	1	9	0	6	0	0	0	0	59	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	1	14	30	1	4	3	0	0	0	0	0	0	5	22	9	2	0	Main genome;Eukaryota;SAR;Alveolata;Dinoflagellata;Syndiniales class incertae sedis;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-3;Dino-Group-II-Clade-3 X;Dino-Group-II-Clade-3 X sp.
